tp,sampleID,genet,day,primeTank,bleachTank,trt,meanfvfm
5,E28,E,10,2,6,C,0.56
5,F23,F,10,2,6,C,0.59
5,J18,J,10,2,6,C,0.57
6,C36,C,11,2,4,C,0.59
6,D12,D,11,2,4,C,0.50
6,E10,E,11,2,4,C,0.56
6,F22,F,11,1,4,C,0.52
6,G28,G,11,1,4,C,0.53
6,H11,H,11,2,4,C,0.54
6,I09,I,11,2,4,C,0.48
6,J14,J,11,1,4,C,0.56
6,I20,I,11,6,3,HH,0.46
6,D09,D,11,6,5,HH,0.56
6,E3W,E,11,6,5,HH,0.52
6,C28,C,11,6,6,HH,0.50
6,H34,H,11,6,6,HH,0.42
6,X,F,11,X,X,HH,0.00
6,X,G,11,X,X,HH,0.00
6,X,J,11,X,X,HH,0.00
6,H33,H,11,5,1,HL,0.48
6,I26,I,11,5,1,HL,0.48
6,C33,C,11,5,2,HL,0.52
6,F26,F,11,5,2,HL,0.57
6,D27,D,11,5,3,HL,0.54
6,E33,E,11,5,3,HL,0.51
6,J08,J,11,5,5,HL,0.53
6,G02,G,11,5,6,HL,0.51
6,C09,C,11,4,1,LH,0.54
6,E13O,E,11,4,1,LH,0.49
6,D18,D,11,4,2,LH,0.55
6,G14,G,11,4,2,LH,0.58
6,J02,J,11,4,2,LH,0.52
6,F19,F,11,4,3,LH,0.57
6,H30,H,11,4,5,LH,0.47
6,I27,I,11,4,6,LH,0.48
6,D08,D,11,3,1,LL,0.50
6,F11,F,11,3,1,LL,0.57
6,G29,G,11,3,1,LL,0.59
6,E35,E,11,3,2,LL,0.52
6,H10,H,11,3,2,LL,0.48
6,J25,J,11,3,3,LL,0.51
6,C13,C,11,3,5,LL,0.58
6,I18,I,11,3,5,LL,0.44
6,I25,I,11,1,2,N,0.39
6,C4W,C,11,1,3,N,0.57
6,G09,G,11,2,3,N,0.55
6,H17,H,11,1,3,N,0.47
6,D04,D,11,1,6,N,0.47
6,E28,E,11,1,6,N,0.51
6,F23,F,11,2,6,N,0.57
6,J18,J,11,2,6,N,0.46
