day,tp,primeTank,bleachTank,trt,new.trt.C,new.trt.N,nubid,genet,cells,chl,chlpcell,prot,protpcell,dhd,dhw
11,3,3,5,LL,LL,LL,I18,I,1673616,3.63,2.17,0.43,0.26,4.07,0.58
11,3,6,3,HH,HH,HH,I20,I,2712202,4.04,1.49,0.33,0.12,11,1.57
11,3,1,2,N,N,N,I25,I,2701722,4.74,1.75,0.48,0.18,2.36,0.34
11,3,5,1,HL,HL,HL,I26,I,2936045,3.82,1.3,0.25,0.09,6.13,0.88
11,3,4,6,LH,LH,LH,I27,I,2345667,4.57,1.95,0.3,0.13,6.8,0.97
11,3,4,2,LH,LH,LH,J02,J,1975663,3.77,1.91,0.27,0.14,6.98,1
11,3,5,5,HL,HL,HL,J08,J,1942548,4.07,2.1,0.22,0.11,6.2,0.89
11,3,1,4,C,C,C,J14,J,3069671,4.55,1.48,0.26,0.09,0.49,0.07
11,3,2,6,N,N,N,J18,J,1735685,3.24,1.87,0.26,0.15,2.18,0.31
11,3,3,3,LL,LL,LL,J25,J,2364118,3.96,1.67,0.19,0.08,4.05,0.58
11,3,6,1,HH,HH,HH,JX,J,0,0,0,0,0,10.94,1.56
